key_id,stadium_id,stadium_name,city_name,country_name,stadium_capacity,stadium_wikipedia_link,city_wikipedia_link,page_title,canonical_title,article_iri,wikidata_id,wikidata_name,coords,capacity_wd,opened_year,demolished_year,tenants
46,S-046,Zhongshan Stadium,Zhongshan,China,12000,https://en.wikipedia.org/wiki/Zhongshan_Sports_Center_Stadium,https://en.wikipedia.org/wiki/Zhongshan,Zhongshan Sports Center Stadium,Zhongshan Sports Center Stadium,https://en.wikipedia.org/wiki/Zhongshan_Sports_Center_Stadium,http://www.wikidata.org/entity/Q5929803,Zhongshan Sports Center Stadium,Point(113.389 22.5072),12000,NA,NA,
47,S-047,Villa Park,Birmingham,England,52000,https://en.wikipedia.org/wiki/Villa_Park,https://en.wikipedia.org/wiki/Birmingham,Villa Park,Villa Park,https://en.wikipedia.org/wiki/Villa_Park,http://www.wikidata.org/entity/Q175339,Villa Park,Point(-1.884722222 52.509166666),42640,1897,NA,Aston Villa F.C.
48,S-048,Goodison Park,Liverpool,England,50000,https://en.wikipedia.org/wiki/Goodison_Park,https://en.wikipedia.org/wiki/Liverpool,Goodison Park,Goodison Park,https://en.wikipedia.org/wiki/Goodison_Park,http://www.wikidata.org/entity/Q968420,Goodison Park,Point(-2.966388888 53.438888888),40157,1892,NA,Everton F.C.; Everton F.C. Women
49,S-049,Wembley Stadium,London,England,99000,https://en.wikipedia.org/wiki/Wembley_Stadium_(1923),https://en.wikipedia.org/wiki/London,Wembley Stadium (1923),Wembley Stadium (1923),https://en.wikipedia.org/wiki/Wembley_Stadium_(1923),http://www.wikidata.org/entity/Q43279,Wembley Stadium,Point(-0.279722222 51.555555555),82000,1923,2002,The Football Association
50,S-050,White City Stadium,London,England,77000,https://en.wikipedia.org/wiki/White_City_Stadium,https://en.wikipedia.org/wiki/London,White City Stadium,White City Stadium,https://en.wikipedia.org/wiki/White_City_Stadium,http://www.wikidata.org/entity/Q876286,White City Stadium,Point(-0.2274 51.513619444),93000,1908,1985,1908 Summer Olympics; Liverpool Stanley
51,S-051,Old Trafford,Manchester,England,58000,https://en.wikipedia.org/wiki/Old_Trafford,https://en.wikipedia.org/wiki/Manchester,Old Trafford,Old Trafford,https://en.wikipedia.org/wiki/Old_Trafford,http://www.wikidata.org/entity/Q83457,Old Trafford,Point(-2.291388888 53.463055555),75731,1910,NA,Manchester United F.C.
52,S-052,Ayresome Park,Middlesbrough,England,40000,https://en.wikipedia.org/wiki/Ayresome_Park,https://en.wikipedia.org/wiki/Middlesbrough,Ayresome Park,Ayresome Park,https://en.wikipedia.org/wiki/Ayresome_Park,http://www.wikidata.org/entity/Q602392,Ayresome Park,Point(-1.246944 54.564167),54000,1903,1997,Middlesbrough F.C.
53,S-053,Hillsborough Stadium,Sheffield,England,43000,https://en.wikipedia.org/wiki/Hillsborough_Stadium,https://en.wikipedia.org/wiki/Sheffield,Hillsborough Stadium,Hillsborough Stadium,https://en.wikipedia.org/wiki/Hillsborough_Stadium,http://www.wikidata.org/entity/Q642557,Hillsborough Stadium,Point(-1.500555555 53.411388888),39732,1899,NA,Sheffield Wednesday F.C.; Sheffield Eagles
54,S-054,Roker Park,Sunderland,England,40000,https://en.wikipedia.org/wiki/Roker_Park,https://en.wikipedia.org/wiki/Sunderland,Roker Park,Roker Park,https://en.wikipedia.org/wiki/Roker_Park,http://www.wikidata.org/entity/Q1541691,Roker Park,Point(-1.375480555 54.9213),22500,1898,1998,Sunderland A.F.C.
55,S-055,Stade du Fort Carré,Antibes,France,7000,https://en.wikipedia.org/wiki/Stade_du_Fort_Carré,https://en.wikipedia.org/wiki/Antibes,Stade du Fort Carré,Stade du Fort Carré,https://en.wikipedia.org/wiki/Stade_du_Fort_Carr%C3%A9,http://www.wikidata.org/entity/Q946007,Stade du Fort Carré,Point(7.12603 43.59221),4000,1912,NA,FC Antibes
56,S-056,Stade du Parc Lescure,Bordeaux,France,35000,https://en.wikipedia.org/wiki/Stade_Chaban-Delmas,https://en.wikipedia.org/wiki/Bordeaux,Stade Chaban-Delmas,Stade Chaban-Delmas,https://en.wikipedia.org/wiki/Stade_Chaban-Delmas,http://www.wikidata.org/entity/Q386547,Stade Chaban-Delmas,Point(-0.598056 44.829167),33290,1938,NA,Union Bordeaux Bègles
57,S-057,Stade des Alpes,Grenoble,France,18000,https://en.wikipedia.org/wiki/Stade_des_Alpes,https://en.wikipedia.org/wiki/Grenoble,Stade des Alpes,Stade des Alpes,https://en.wikipedia.org/wiki/Stade_des_Alpes,http://www.wikidata.org/entity/Q2299298,Stade des Alpes,Point(5.740194 45.187474),20068,2008,NA,Grenoble Foot 38; Football Club Grenoble Rugby
58,S-058,Stade Jules Deschaseaux,Le Havre,France,22000,https://en.wikipedia.org/wiki/Stade_Jules_Deschaseaux,https://en.wikipedia.org/wiki/Le_Havre,Stade Jules Deschaseaux,Stade Jules Deschaseaux,https://en.wikipedia.org/wiki/Stade_Jules_Deschaseaux,http://www.wikidata.org/entity/Q1059879,Stade Jules Deschaseaux,Point(0.1712 49.50185),16382,1931,NA,Le Havre AC
59,S-059,Stade Océane,Le Havre,France,24000,https://en.wikipedia.org/wiki/Stade_Océane,https://en.wikipedia.org/wiki/Le_Havre,Stade Océane,Stade Océane,https://en.wikipedia.org/wiki/Stade_Oc%C3%A9ane,http://www.wikidata.org/entity/Q219462,Stade Océane,Point(0.1697 49.4988),33000,2012,NA,Le Havre AC
60,S-060,Stade Félix-Bollaert,Lens,France,41000,https://en.wikipedia.org/wiki/Stade_Bollaert-Delelis,"https://en.wikipedia.org/wiki/Lens,_Pas-de-Calais",Stade Bollaert-Delelis,Stade Bollaert-Delelis,https://en.wikipedia.org/wiki/Stade_Bollaert-Delelis,http://www.wikidata.org/entity/Q854122,Stade Bollaert-Delelis,Point(2.81491 50.4329),38223,1933,NA,R.C. Lens
