venue_name,venue_classification,use_at_games,current_status,games_year,host_city,reasoning,host_country,award_year,precision,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_year_used,city_pop_year_gap,page_title,types,wikidata_id,wikidata_name,coords,capacity_wd,opened_year,opened_year_source
Piste des Pélerins,New (seasonal),Bobsleigh,Dismantled (seasonal),1924,Chamonix,NA,France,1922,approximate,FRA,NA,NA,NA,NA,NA,Chamonix,commune of France; border city,http://www.wikidata.org/entity/Q83236,Chamonix-Mont-Blanc,NA,NA,NA,NA
Olympic Tennis Centre,New build,Tennis,In use,2004,Athens,NA,Greece,1997,exact,GRC,13015.9175046854,NA,3278.09,1997,0,Athens Olympic Tennis Centre,sports venue,http://www.wikidata.org/entity/Q3497458,Athens Olympic Tennis Centre,Point(23.791 38.0393),NA,NA,NA
Agios Kosmas Olympic Sailing Centre,New build,Sailing,In use,2004,Athens,NA,Greece,1997,exact,GRC,13015.9175046854,NA,3278.09,1997,0,Agios Kosmas Olympic Sailing Centre,sports venue,http://www.wikidata.org/entity/Q1415028,Agios Kosmas Olympic Sailing Centre,Point(23.727777777 37.877777777),NA,NA,NA
Hippodrome d’Auteuil,Existing,Eventing,In use,1924,Paris,NA,France,1921,exact,FRA,NA,NA,7423.859,1975,54,Auteuil Hippodrome,horse racing venue,http://www.wikidata.org/entity/Q3135866,Auteuil Hippodrome,NA,NA,NA,NA
Bassin d’Argenteuil,Existing,"Rowing, canoe sprint",In use,1924,Paris,NA,France,1921,exact,FRA,NA,NA,7423.859,1975,54,Paris Metro,rapid transit,http://www.wikidata.org/entity/Q50716,Paris Métro,NA,NA,NA,NA
Vélodrome municipal de Vincennes,Existing,Cycling (track),In use,1924,Paris,NA,France,1921,exact,FRA,NA,NA,7423.859,1975,54,Vélodrome de Vincennes,stadium; velodrome; sports venue,http://www.wikidata.org/entity/Q420494,Vélodrome de Vincennes,NA,NA,NA,NA
"Cercle de la Voile de Paris, Meulan",Existing,Sailing,In use,1924,Paris,NA,France,1921,exact,FRA,NA,NA,7423.859,1975,54,Sailing at the 1924 Summer Olympics,Olympic sports discipline event,http://www.wikidata.org/entity/Q1049223,sailing at the 1924 Summer Olympics,NA,NA,NA,NA
Stade de Paris,Existing,Football,In use,1924,Paris,NA,France,1921,exact,FRA,NA,NA,7423.859,1975,54,Stade Pierre de Coubertin (Paris),gym; stadium; sports venue,http://www.wikidata.org/entity/Q462240,Stade Pierre de Coubertin,NA,NA,NA,NA
Terrain de Polo de Bagatelle,Existing,Polo,In use,1924,Paris,NA,France,1921,exact,FRA,NA,NA,7423.859,1975,54,Alberto Santos-Dumont,human,http://www.wikidata.org/entity/Q313211,Alberto Santos-Dumont,NA,NA,NA,NA
Stade Olympique de Colombes,Existing,"Athletics, gymnastics,
modern pentathlon,
cycling (road), Opening
and Closing Ceremonies",In use (rebuilt),1924,Paris,NA,France,1921,exact,FRA,NA,NA,7423.859,1975,54,Stade Yves-du-Manoir,stadium; Olympic stadium; sports venue,http://www.wikidata.org/entity/Q754502,Yves du Manoir Stadium,NA,NA,NA,NA
Saint-Cloud Country Club,Existing,Polo,In use (repurposed),1924,Paris,NA,France,1921,exact,FRA,NA,NA,7423.859,1975,54,Anissa Lahmari,human,http://www.wikidata.org/entity/Q19842431,Anissa Lahmari,NA,NA,NA,NA
Vélodrome d’Hiver,Existing,"Weightlifting, wrestling,
boxing, fencing",Not in use (demolished),1924,Paris,urban redevelopment - not a failure,France,1921,exact,FRA,NA,NA,7423.859,1975,54,Vélodrome d'Hiver,arena,http://www.wikidata.org/entity/Q1274969,Vélodrome d'Hiver,Point(2.288906 48.853742),NA,NA,NA
Stand d’Issy-les-Moulineaux,Existing,Shooting,Not in use (demolished),1924,Paris,abandoned before demolition - this is the white elephant,France,1921,exact,FRA,NA,NA,7423.859,1975,54,Balard shooting range,shooting range,http://www.wikidata.org/entity/Q3496550,Balard shooting range,Point(2.276598231 48.833091448),NA,NA,NA
Stade Bergeyre,Existing,Football,Not in use (demolished),1924,Paris,urban redevelopment - not a failure,France,1921,exact,FRA,NA,NA,7423.859,1975,54,Stade Bergeyre,stadium,http://www.wikidata.org/entity/Q3210514,Stade Bergeyre,Point(2.37694 48.8772),15000,1918,P571
