venue_id,stadium_id,stadium_name,city_name,country_name,tournament_id,tournament_year,award_year,opened_year,stadium_capacity,design_purpose,newly_built,current_status,status_detail,not_in_use_reason,wikipedia_link,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_pct_rank,city_pop_z,city_pop_year_used,city_pop_year_gap,venue_age,years_since_event,years_since_construction,coords,venue_lon,venue_lat,city_lon,city_lat,distance_mi
S-011,S-011,Arena da Baixada,Curitiba,Brazil,WC-2014,2014,2007,1999,40000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Arena_da_Baixada,BRA,7409.69130673473,NA,2267.047,0.9808970976253298,1.7665691258766816,2007,0,15,12,27,Point(-49.276944 -25.448333),-49.276944,-25.448333,-49.2553428080241,-25.4581368087922,1.5099869799469292
S-012,S-012,Estádio Vila Capanema,Curitiba,Brazil,WC-1950,1950,1946,1947,10000,Single-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Estádio_Vila_Capanema,BRA,NA,NA,703.372,0.947229085774797,0.639290050829499,1975,29,3,76,79,Point(-49.255833 -25.439444),-49.255833,-25.439444,-49.2553428080241,-25.4581368087922,1.2933607853221736
S-013,S-013,Estádio Castelão,Fortaleza,Brazil,WC-2014,2014,2007,1973,63000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Castelão_(Ceará),BRA,7409.69130673473,NA,2834.858,0.9860686015831136,2.2776892690327375,2007,0,41,12,53,Point(-38.522481 -3.807267),-38.522481,-3.807267,-38.5599910685237,-3.77702211074443,3.3285536629347545
S-014,S-014,Arena da Amazônia,Manaus,Brazil,WC-2014,2014,2007,2014,41000,Single-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Arena_da_Amazônia,BRA,7409.69130673473,NA,1619.93,0.9720316622691292,1.1840609784848255,2007,0,0,12,12,Point(-60.028056 -3.083056),-60.028056,-3.083056,-60.0013115668828,-3.0582326111379,2.5220480228033204
S-015,S-015,Arena das Dunas,Natal,Brazil,WC-2014,2014,2007,2014,40000,Single-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Arena_das_Dunas,BRA,7409.69130673473,NA,874.833,0.9477572559366756,0.5133552589669795,2007,0,0,12,12,Point(-35.21236 -5.82681),-35.21236,-5.82681,-35.2362741620568,-5.79950641457768,2.5050048482061498
S-016,S-016,Estádio Beira-Rio,Porto Alegre,Brazil,WC-2014,2014,2007,1969,43000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Estádio_Beira-Rio,BRA,7409.69130673473,NA,1706.867,0.9741424802110816,1.262318095528275,2007,0,45,12,57,Point(-51.236086 -30.065614),-51.236086,-30.065614,-51.1532096534832,-30.0532283902741,5.035050742566972
S-017,S-017,Estádio dos Eucaliptos,Porto Alegre,Brazil,WC-1950,1950,1946,1931,20000,Single-purpose,Existing,not in use,demolished 2012,abandoned before demolition,https://en.wikipedia.org/wiki/Estádio_dos_Eucaliptos,BRA,NA,NA,797.254,0.9546417225555948,0.7669762192277079,1975,29,19,76,95,Point(-51.227222 -30.061667),-51.227222,-30.061667,-51.1532096534832,-30.0532283902741,4.4693292518120336
S-018,S-018,Arena Pernambuco,Recife,Brazil,WC-2014,2014,2007,2013,43000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Arena_Pernambuco,BRA,7409.69130673473,NA,3176.707,0.9883905013192612,2.5854076996685555,2007,0,1,12,13,Point(-35.008333333 -8.040555555),-35.008333333,-8.040555555,-34.9207751899257,-8.04622135042311,6.009686345168424
S-019,S-019,Estádio Ilha do Retiro,Recife,Brazil,WC-1950,1950,1946,1937,30000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Estádio_Ilha_do_Retiro,BRA,NA,NA,1793.038,0.9846452523826332,2.121312977203059,1975,29,13,76,89,Point(-34.902888888 -8.062888888),-34.902888888,-8.062888888,-34.9207751899257,-8.04622135042311,1.6822125783268327
S-020,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,WC-1950,1950,1946,1950,200000,Single-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Maracanã_Stadium,BRA,NA,NA,5880.669,0.9964701729615248,7.68078060907859,1975,29,0,76,76,Point(-43.230277777 -22.912222222),-43.230277777,-22.912222222,-43.3666524274637,-22.8458452131082,9.829268980200304
S-020,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,WC-2014,2014,2007,1950,200000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Maracanã_Stadium,BRA,7409.69130673473,NA,8819.242,0.9967282321899736,7.664585977234602,2007,0,64,12,76,Point(-43.230277777 -22.912222222),-43.230277777,-22.912222222,-43.3666524274637,-22.8458452131082,9.829268980200304
S-021,S-021,Arena Fonte Nova,Salvador,Brazil,WC-2014,2014,2007,2013,52000,Single-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Arena_Fonte_Nova,BRA,7409.69130673473,NA,2776.686,0.9855408970976254,2.2253252236590586,2007,0,1,12,13,Point(-38.504252777 -12.978819444),-38.504252777,-12.978819444,-38.4513681656682,-12.9366878889254,4.604531050408771
S-022,S-022,Arena Corinthians,São Paulo,Brazil,WC-2014,2014,2007,2014,63000,Single-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Arena_Corinthians,BRA,7409.69130673473,NA,17722.396,0.9986279683377308,15.6788395704556,2007,0,0,12,12,Point(-46.474 -23.545555555),-46.474,-23.545555555,-46.5998582137567,-23.5767447751221,8.2664461149112185
