venue_id,stadium_id,stadium_name,city_name,country_name,tournament_id,tournament_year,award_year,opened_year,stadium_capacity,design_purpose,newly_built,current_status,status_detail,not_in_use_reason,wikipedia_link,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_pct_rank,city_pop_z,city_pop_year_used,city_pop_year_gap
S-068,S-068,Parc des Princes,Paris,France,WC-2019,2019,2015,1972,49000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Parc_des_Princes,FRA,36702.4323733379,70,9271.626,0.9967881068183904,7.540683299110412,2015,0
S-069,S-069,Stade Olympique de Colombes,Paris,France,WC-1938,1938,1936,1907,60000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_Olympique_Yves-du-Manoir,FRA,NA,NA,7423.859,0.9969996470172962,9.779628292451674,1975,39
S-070,S-070,Stade Auguste-Delaune,Reims,France,WC-2019,2019,2015,1935,21000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_Auguste-Delaune,FRA,36702.4323733379,70,185.841,0.7295585941084702,-0.10397667130497701,2015,0
S-070,S-071,Vélodrome Municipal,Reims,France,WC-1938,1938,1936,1935,22000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_Auguste_Delaune,FRA,NA,NA,183.568,0.774620543593364,-0.06768019989015447,1975,39
S-072,S-072,Roazhon Park,Rennes,France,WC-2019,2019,2015,1912,29000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Roazhon_Park,FRA,36702.4323733379,70,233.81,0.7904927961824355,-0.06361618576400772,2015,0
S-073,S-073,Stade de France,Saint-Denis,France,WC-1998,1998,1992,1998,80000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_de_France,FRA,23615.0168565483,NA,8124.42,0.997003949339507,8.474624706678622,1992,0
S-074,S-074,Stade Geoffroy-Guichard,Saint-Étienne,France,WC-1998,1998,1992,1931,36000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_Geoffroy-Guichard,FRA,23615.0168565483,NA,224.408,0.7936810567887784,-0.055871844805794324,1992,0
S-075,S-075,Stade de la Meinau,Strasbourg,France,WC-1938,1938,1936,1914,30000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_de_la_Meinau,FRA,NA,NA,325.62,0.8856336039534063,0.12552057974068373,1975,39
S-076,S-076,Stade de Toulouse,Toulouse,France,WC-1998,1998,1992,1937,37000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stadium_Municipal,FRA,23615.0168565483,NA,369.505,0.8782513958872395,0.1008050638027919,1992,0
S-077,S-077,Stade du T.O.E.C.,Toulouse,France,WC-1938,1938,1936,1908,15000,Multi-purpose,Existing,not in use,demolished 1965,urban redevelopment,https://en.wikipedia.org/wiki/Stade_Chapou,FRA,NA,NA,257.937,0.8519237557359689,0.033466906664950745,1975,39
S-078,S-078,Stade du Hainaut,Valenciennes,France,WC-2019,2019,2015,2011,23000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_du_Hainaut,FRA,36702.4323733379,70,101.46,0.4900431311370102,-0.17497373462571605,2015,0
S-079,S-079,Impuls Arena,Augsburg,Germany,WC-2011,2011,2007,2009,25000,Single-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Impuls_Arena,DEU,42350.9217211489,NA,289.395,0.8312401055408971,-0.01363198567779646,2007,0
S-080,S-080,Olympiastadion,Berlin,Germany,WC-1974,1974,1966,1936,86000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Olympiastadion_(Berlin),DEU,1870.80540291774,NA,3025.918,0.9929403459230498,3.7981170854962745,1975,9
S-080,S-080,Olympiastadion,Berlin,Germany,WC-2006,2006,2000,1936,86000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Olympiastadion_(Berlin),DEU,23925.8559901991,NA,3328.134,0.9907065278244318,3.0231519992287152,2000,0
S-080,S-080,Olympiastadion,Berlin,Germany,WC-2011,2011,2007,1936,86000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Olympiastadion_(Berlin),DEU,42350.9217211489,NA,3300.99,0.988707124010554,2.6972821521745196,2007,0
S-081,S-081,Ruhrstadion,Bochum,Germany,WC-2011,2011,2007,1911,21000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Ruhrstadion,DEU,42350.9217211489,NA,2624.551,0.9842744063324538,2.0883795445879474,2007,0
S-082,S-082,RheinEnergieStadion,Cologne,Germany,WC-2006,2006,2000,2004,45000,Single-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/RheinEnergieStadion,DEU,23925.8559901991,NA,949.868,0.9564438472735416,0.6617489675539576,2000,0
S-083,S-083,Westfalenstadion,Dortmund,Germany,WC-1974,1974,1966,1974,65000,Single-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Westfalenstadion,DEU,1870.80540291774,NA,752.653,0.950935404165196,0.706315700739302,1975,9
S-083,S-083,Westfalenstadion,Dortmund,Germany,WC-2006,2006,2000,1974,65000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Westfalenstadion,DEU,23925.8559901991,NA,714.411,0.9404322024409361,0.42796146286396763,2000,0
S-084,S-084,Rudolf-Harbig-Stadion,Dresden,Germany,WC-2011,2011,2007,2009,26000,Single-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Rudolf-Harbig-Stadion,DEU,42350.9217211489,NA,488.02,0.9006860158311346,0.16516208212710967,2007,0
S-085,S-085,Rheinstadion,Düsseldorf,Germany,WC-1974,1974,1966,1925,70000,Multi-purpose,Existing,in use,rebuilt 2004,NA,https://en.wikipedia.org/wiki/Rheinstadion,DEU,1870.80540291774,NA,745.976,0.9504059301094246,0.6972345078972787,1975,9
