venue_id,stadium_id,stadium_name,city_name,country_name,tournament_id,tournament_year,award_year,opened_year,stadium_capacity,design_purpose,newly_built,current_status,status_detail,not_in_use_reason,notes,wikipedia_link
S-064,S-064,Stade Vélodrome,Marseille,France,WC-1938,1938,1936,1937,60000,Multi-purpose,New,in use,,,"opened 1937, France awarded 1936",https://en.wikipedia.org/wiki/Stade_Vélodrome
S-064,S-064,Stade Vélodrome,Marseille,France,WC-1998,1998,1992,1937,60000,Multi-purpose,Existing,in use,,,major renovation for WC98 but the same building; Existing,https://en.wikipedia.org/wiki/Stade_Vélodrome
S-065,S-065,Stade de la Mosson,Montpellier,France,WC-1998,1998,1992,1972,34000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Stade_de_la_Mosson
S-065,S-065,Stade de la Mosson,Montpellier,France,WC-2019,2019,2015,1972,34000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Stade_de_la_Mosson
S-066,S-066,Stade de la Beaujoire,Nantes,France,WC-1998,1998,1992,1984,40000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Stade_de_la_Beaujoire
S-067,S-067,Allianz Riviera,Nice,France,WC-2019,2019,2015,2013,35000,Multi-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Allianz_Riviera
S-068,S-068,Parc des Princes,Paris,France,WC-1938,1938,1936,1897,49000,Multi-purpose,Existing,in use,rebuilt 1972,,"the 1897 velodrome as expanded in 1932; cycle track in use until 1967, so Multi in 1938",https://en.wikipedia.org/wiki/Parc_des_Princes
S-068,S-068,Parc des Princes,Paris,France,WC-1998,1998,1992,1972,49000,Single-purpose,Existing,in use,,,"1972 building, football only",https://en.wikipedia.org/wiki/Parc_des_Princes
S-068,S-068,Parc des Princes,Paris,France,WC-2019,2019,2015,1972,49000,Single-purpose,Existing,in use,,,"1972 building, football only",https://en.wikipedia.org/wiki/Parc_des_Princes
S-069,S-069,Stade Olympique de Colombes,Paris,France,WC-1938,1938,1936,1907,60000,Multi-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Stade_Olympique_Yves-du-Manoir
S-070,S-070,Stade Auguste-Delaune,Reims,France,WC-2019,2019,2015,1935,21000,Multi-purpose,Existing,in use,,,"same Reims venue as the 1938 Velodrome Municipal row (S-071); rebuilt 2004-08, well before the 2015 award",https://en.wikipedia.org/wiki/Stade_Auguste-Delaune
S-070,S-071,Vélodrome Municipal,Reims,France,WC-1938,1938,1936,1935,22000,Multi-purpose,Existing,in use,,,later renamed Stade Auguste-Delaune; same venue as S-070,https://en.wikipedia.org/wiki/Stade_Auguste_Delaune
S-072,S-072,Roazhon Park,Rennes,France,WC-2019,2019,2015,1912,29000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Roazhon_Park
S-073,S-073,Stade de France,Saint-Denis,France,WC-1998,1998,1992,1998,80000,Multi-purpose,New,in use,,,,https://en.wikipedia.org/wiki/Stade_de_France
S-074,S-074,Stade Geoffroy-Guichard,Saint-Étienne,France,WC-1998,1998,1992,1931,36000,Multi-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Stade_Geoffroy-Guichard
S-075,S-075,Stade de la Meinau,Strasbourg,France,WC-1938,1938,1936,1914,30000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Stade_de_la_Meinau
S-076,S-076,Stade de Toulouse,Toulouse,France,WC-1998,1998,1992,1937,37000,Multi-purpose,Existing,in use,,,"opened 1937, renovated 1949",https://en.wikipedia.org/wiki/Stadium_Municipal
S-077,S-077,Stade du T.O.E.C.,Toulouse,France,WC-1938,1938,1936,1908,15000,Multi-purpose,Existing,not in use,demolished 1965,urban redevelopment,"Stade Chapou, the TOEC ground; opened 1908; requisitioned by the education ministry and demolished 1965 to build the Chapou university residence",https://en.wikipedia.org/wiki/Stade_Chapou
S-078,S-078,Stade du Hainaut,Valenciennes,France,WC-2019,2019,2015,2011,23000,Multi-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Stade_du_Hainaut
S-079,S-079,Impuls Arena,Augsburg,Germany,WC-2011,2011,2007,2009,25000,Single-purpose,New,in use,,,,https://en.wikipedia.org/wiki/Impuls_Arena
S-080,S-080,Olympiastadion,Berlin,Germany,WC-1974,1974,1966,1936,86000,Multi-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Olympiastadion_(Berlin)
S-080,S-080,Olympiastadion,Berlin,Germany,WC-2006,2006,2000,1936,86000,Multi-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Olympiastadion_(Berlin)
S-080,S-080,Olympiastadion,Berlin,Germany,WC-2011,2011,2007,1936,86000,Multi-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Olympiastadion_(Berlin)
S-081,S-081,Ruhrstadion,Bochum,Germany,WC-2011,2011,2007,1911,21000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Ruhrstadion
S-082,S-082,RheinEnergieStadion,Cologne,Germany,WC-2006,2006,2000,2004,45000,Single-purpose,New,in use,,,"Mungersdorfer demolished 2001, rebuilt 2004 ahead of the WC",https://en.wikipedia.org/wiki/RheinEnergieStadion
S-083,S-083,Westfalenstadion,Dortmund,Germany,WC-1974,1974,1966,1974,65000,Single-purpose,New,in use,,,opened 1974 for the WC,https://en.wikipedia.org/wiki/Westfalenstadion
S-083,S-083,Westfalenstadion,Dortmund,Germany,WC-2006,2006,2000,1974,65000,Single-purpose,Existing,in use,,,"same 1974 building, expanded in stages; Existing",https://en.wikipedia.org/wiki/Westfalenstadion
S-084,S-084,Rudolf-Harbig-Stadion,Dresden,Germany,WC-2011,2011,2007,2009,26000,Single-purpose,New,in use,,,"old ground demolished, new stadium built 2007-09; New",https://en.wikipedia.org/wiki/Rudolf-Harbig-Stadion
S-085,S-085,Rheinstadion,Düsseldorf,Germany,WC-1974,1974,1966,1925,70000,Multi-purpose,Existing,in use,rebuilt 2004,,"demolished 2002, Merkur Spiel-Arena built on the same site, opened 2004; in use (rebuilt) per the IOC convention",https://en.wikipedia.org/wiki/Rheinstadion
S-086,S-086,Waldstadion,Frankfurt,Germany,WC-1974,1974,1966,1974,62000,Multi-purpose,New,in use,rebuilt 2005,,rebuilt virtually from scratch 1972-74 for the WC (per the article); New; still a multi sport venue then,https://en.wikipedia.org/wiki/Waldstadion_(Frankfurt)
S-086,S-086,Waldstadion,Frankfurt,Germany,WC-2006,2006,2000,2005,62000,Single-purpose,New,in use,,,"demolished and rebuilt 2002-05 as a football only arena for WC2006; New, same class as Cologne and Leipzig; design purpose becomes Single here",https://en.wikipedia.org/wiki/Waldstadion_(Frankfurt)
S-086,S-086,Waldstadion,Frankfurt,Germany,WC-2011,2011,2007,2005,62000,Single-purpose,Existing,in use,,,"2005 building, so Existing",https://en.wikipedia.org/wiki/Waldstadion_(Frankfurt)
S-087,S-087,Arena AufShalke,Gelsenkirchen,Germany,WC-2006,2006,2000,2001,52000,Single-purpose,New,in use,,,"opened Aug 2001, awarded Jul 2000; construction started 1998 as a club project; New under the two dates rule",https://en.wikipedia.org/wiki/Arena_AufSchalke
S-088,S-088,Parkstadion,Gelsenkirchen,Germany,WC-1974,1974,1966,1973,72000,Multi-purpose,New,in use,rebuilt 2020,,"partly dismantled 2004 and 2008 after Schalke moved next door; rebuilt 2015-20 on the same grounds as a 5,000 seat stadium for Schalke U19/U23, so in use (rebuilt)",https://en.wikipedia.org/wiki/Parkstadion
S-089,S-089,Volksparkstadion,Hamburg,Germany,WC-1974,1974,1966,1953,61000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Volksparkstadion
S-089,S-089,Volksparkstadion,Hamburg,Germany,WC-2006,2006,2000,1953,61000,Single-purpose,Existing,in use,,,"torn down and rebuilt 1998-2000, finished by the Jul 2000 award, so Existing",https://en.wikipedia.org/wiki/Volksparkstadion
S-090,S-090,Niedersachsenstadion,Hanover,Germany,WC-1974,1974,1966,1954,60000,Multi-purpose,Existing,in use,,,multi sport bowl with athletics track,https://en.wikipedia.org/wiki/Niedersachsenstadion
S-090,S-090,Niedersachsenstadion,Hanover,Germany,WC-2006,2006,2000,1954,60000,Single-purpose,Existing,in use,,,"2003-04 redevelopment kept the 1954 bowl; structure retained, so Existing (full demolition only counts as New)",https://en.wikipedia.org/wiki/Niedersachsenstadion
S-091,S-091,Fritz-Walter-Stadion,Kaiserslautern,Germany,WC-2006,2006,2000,1920,46000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Fritz-Walter-Stadion
S-092,S-092,Zentralstadion,Leipzig,Germany,WC-2006,2006,2000,2004,43000,Single-purpose,New,in use,,,old Zentralstadion 1956; completely rebuilt 2000-04 for the WC,https://en.wikipedia.org/wiki/Red_Bull_Arena_(Leipzig)
S-093,S-093,BayArena,Leverkusen,Germany,WC-2011,2011,2007,1958,30000,Single-purpose,Existing,in use,,,opened 1958; the 1932 date in the wikidata pull is the old Stadtpark ground,https://en.wikipedia.org/wiki/BayArena
S-094,S-094,Borussia-Park,Mönchengladbach,Germany,WC-2011,2011,2007,2004,46000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Borussia-Park
S-095,S-095,Allianz Arena,Munich,Germany,WC-2006,2006,2000,2005,66000,Single-purpose,New,in use,,,,https://en.wikipedia.org/wiki/Allianz_Arena
