venue_name,venue_classification,use_at_games,current_status,games_year,host_city,host_country,award_year,precision,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_year_used,city_pop_year_gap
Duden Park Stadium,Existing,Football,In use,1920,Antwerp,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61
"Wellington Racing Track
(Wellingtonrenbaan)",Existing,Polo,In use,1920,Antwerp,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61
Oostende,Existing,Sailing,In use,1920,Antwerp,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61
"Willebroek Canal
(Willebroekse Vaart)",Existing,Rowing,In use,1920,Antwerp,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61
Buiten-IJ,Existing,Sailing,In use,1920,Antwerp,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61
"Beverloo Camp (Kamp
Beverloo)",Existing,Shooting,In use,1920,Antwerp,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61
Jules Otten Stadium,New build,Football,Not in use (demolished),1920,Antwerp,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61
Hippodrome d’Auteuil,Existing,Eventing,In use,1924,Paris,France,1921,exact,FRA,NA,NA,7423.859,1975,54
Bassin d’Argenteuil,Existing,"Rowing, canoe sprint",In use,1924,Paris,France,1921,exact,FRA,NA,NA,7423.859,1975,54
"Vélodrome municipal de
Vincennes",Existing,Cycling (track),In use,1924,Paris,France,1921,exact,FRA,NA,NA,7423.859,1975,54
"Cercle de la Voile
de Paris, Meulan",Existing,Sailing,In use,1924,Paris,France,1921,exact,FRA,NA,NA,7423.859,1975,54
Stade de Paris,Existing,Football,In use,1924,Paris,France,1921,exact,FRA,NA,NA,7423.859,1975,54
"Terrain de Polo
de Bagatelle",Existing,Polo,In use,1924,Paris,France,1921,exact,FRA,NA,NA,7423.859,1975,54
"Stade Olympique de
Colombes",Existing,"Athletics, gymnastics,
modern pentathlon,
cycling (road), Opening
and Closing Ceremonies",In use (rebuilt),1924,Paris,France,1921,exact,FRA,NA,NA,7423.859,1975,54
Saint-Cloud Country Club,Existing,Polo,In use (repurposed),1924,Paris,France,1921,exact,FRA,NA,NA,7423.859,1975,54
Vélodrome d’Hiver,Existing,"Weightlifting, wrestling,
boxing, fencing",Not in use (demolished),1924,Paris,France,1921,exact,FRA,NA,NA,7423.859,1975,54
Stand d’Issy-les-Moulineaux,Existing,Shooting,Not in use (demolished),1924,Paris,France,1921,exact,FRA,NA,NA,7423.859,1975,54
Stade Bergeyre,Existing,Football,Not in use (demolished),1924,Paris,France,1921,exact,FRA,NA,NA,7423.859,1975,54
"Stade d’Escrime de
Colombes / Stade de
Colombes",Existing,Fencing,Not in use (demolished),1924,Paris,France,1921,exact,FRA,NA,NA,7423.859,1975,54
Stade Pershing,Existing,Football,In use,1924,Paris,France,1921,exact,FRA,NA,NA,7423.859,1975,54
